scenario,scenario_label,horizon,design,metric,dose,is_kstar,mean,se,lo,hi
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",300,3 + 3,Recommended,3,True,26.19833333333328,1.3592957441109588,23.445658333333288,28.855449999999983
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",300,CRM,Recommended,3,True,0.6026666666666669,0.0156524276619938,0.5726583333333328,0.6346749999999999
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",300,UCB,Recommended,3,True,47.17000000000008,1.1530191293921803,44.84745000000003,49.382125
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",300,SEEDA,Recommended,3,True,49.08833333333337,1.0842223192333509,47.019958333333385,51.12766666666667
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",300,SEEDA Plateau,Recommended,3,True,95.9516666666662,0.2849520669126011,95.36299166666636,96.47980833333284
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",300,SEEDA Plateau (ours),Recommended,3,True,75.13433333333333,0.7138502145061864,73.77663333333331,76.5392833333332
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",300,SEEDA Plateau (fixed),Recommended,3,True,51.10600000000007,1.0731723179794146,49.00645833333342,53.268708333333464
Small efficacy gaps,"Small efficacy gaps (k*=3, MTD=4)",300,3 + 3,Recommended,3,True,26.977666666666607,1.3726881048648856,24.22863333333327,29.731383333333294
Small efficacy gaps,"Small efficacy gaps (k*=3, MTD=4)",300,CRM,Recommended,3,True,0.629666666666669,0.01580222265367636,0.5973333333333329,0.659008333333335
Small efficacy gaps,"Small efficacy gaps (k*=3, MTD=4)",300,UCB,Recommended,3,True,40.673333333333304,1.071306793556583,38.61624166666667,42.798475
Small efficacy gaps,"Small efficacy gaps (k*=3, MTD=4)",300,SEEDA,Recommended,3,True,42.04700000000001,1.078917024541668,40.01790833333333,44.21468333333331
Small efficacy gaps,"Small efficacy gaps (k*=3, MTD=4)",300,SEEDA Plateau,Recommended,3,True,96.1466666666661,0.25024593529213235,95.60688333333292,96.61736666666617
Small efficacy gaps,"Small efficacy gaps (k*=3, MTD=4)",300,SEEDA Plateau (ours),Recommended,3,True,23.61766666666668,0.8735676763392185,21.94863333333334,25.24357499999998
Small efficacy gaps,"Small efficacy gaps (k*=3, MTD=4)",300,SEEDA Plateau (fixed),Recommended,3,True,3.1206666666666822,0.3356145740321087,2.490300000000005,3.8158500000000317
Optimal dose at MTD-2,"Optimal dose at MTD-2 (k*=2, MTD=4)",300,3 + 3,Recommended,2,True,22.39899999999989,1.321914551267621,19.938858333333332,25.066724999999803
Optimal dose at MTD-2,"Optimal dose at MTD-2 (k*=2, MTD=4)",300,CRM,Recommended,2,True,0.034666666666666644,0.003987799084901543,0.02699999999999998,0.04266666666666668
Optimal dose at MTD-2,"Optimal dose at MTD-2 (k*=2, MTD=4)",300,UCB,Recommended,2,True,30.135333333333243,0.9721822419684004,28.294891666666583,32.028716666666604
Optimal dose at MTD-2,"Optimal dose at MTD-2 (k*=2, MTD=4)",300,SEEDA,Recommended,2,True,32.111333333333306,0.9986260490729779,30.060291666666647,34.04929166666668
Optimal dose at MTD-2,"Optimal dose at MTD-2 (k*=2, MTD=4)",300,SEEDA Plateau,Recommended,2,True,0.7246666666666699,0.035277087885872235,0.6609916666666693,0.7933666666666698
Optimal dose at MTD-2,"Optimal dose at MTD-2 (k*=2, MTD=4)",300,SEEDA Plateau (ours),Recommended,2,True,72.41866666666671,0.989013712682931,70.5449416666667,74.26136666666652
Optimal dose at MTD-2,"Optimal dose at MTD-2 (k*=2, MTD=4)",300,SEEDA Plateau (fixed),Recommended,2,True,61.77433333333351,1.209554520807154,59.36355833333347,64.19611666666684
Optimal dose at MTD-3,"Optimal dose at MTD-3 (k*=1, MTD=4)",300,3 + 3,Recommended,1,True,3.712333333333397,0.5801891911626652,2.62100000000004,4.802700000000016
Optimal dose at MTD-3,"Optimal dose at MTD-3 (k*=1, MTD=4)",300,CRM,Recommended,1,True,0.0020000000000000005,0.0008187002864589332,0.0006666666666666668,0.003666666666666668
Optimal dose at MTD-3,"Optimal dose at MTD-3 (k*=1, MTD=4)",300,UCB,Recommended,1,True,23.683333333333245,0.9108844965337617,21.87261666666665,25.44067499999992
Optimal dose at MTD-3,"Optimal dose at MTD-3 (k*=1, MTD=4)",300,SEEDA,Recommended,1,True,24.43166666666669,0.9023086172247596,22.739508333333333,26.22622500000002
Optimal dose at MTD-3,"Optimal dose at MTD-3 (k*=1, MTD=4)",300,SEEDA Plateau,Recommended,1,True,0.5793333333333321,0.023995947633636674,0.5339666666666627,0.6263583333333343
Optimal dose at MTD-3,"Optimal dose at MTD-3 (k*=1, MTD=4)",300,SEEDA Plateau (ours),Recommended,1,True,74.80066666666654,1.058249530263903,72.73356666666666,76.97087500000006
