scenario,scenario_label,horizon,design,metric,dose,is_kstar,mean,se,lo,hi
Step-function toxicity (misspecified),"Step-function toxicity (misspecified) (k*=3, MTD=6, nominal grid 4)",100,SEEDA Plateau (ours),Recommended,3,True,51.267,0.7405530254394258,49.807775,52.770300000000006
Step-function toxicity (misspecified),"Step-function toxicity (misspecified) (k*=3, MTD=6, nominal grid 4)",100,SEEDA Plateau (fixed),Recommended,3,True,27.376,0.8462344185218962,25.819625000000002,29.02625
Off-family logistic toxicity (misspecified),"Off-family logistic toxicity (misspecified) (k*=3, MTD=4)",100,3 + 3,Recommended,3,True,31.064,1.3883944501200383,28.4695,33.828125
Off-family logistic toxicity (misspecified),"Off-family logistic toxicity (misspecified) (k*=3, MTD=4)",100,CRM,Recommended,3,True,3.075,0.1034871183271602,2.86385,3.278
Off-family logistic toxicity (misspecified),"Off-family logistic toxicity (misspecified) (k*=3, MTD=4)",100,UCB,Recommended,3,True,48.786,1.061774743420074,46.84795,50.8072
Off-family logistic toxicity (misspecified),"Off-family logistic toxicity (misspecified) (k*=3, MTD=4)",100,SEEDA,Recommended,3,True,48.311,0.9972114855666006,46.350725,50.3331
Off-family logistic toxicity (misspecified),"Off-family logistic toxicity (misspecified) (k*=3, MTD=4)",100,SEEDA Plateau,Recommended,3,True,85.722,0.4329694553895233,84.861825,86.51025
Off-family logistic toxicity (misspecified),"Off-family logistic toxicity (misspecified) (k*=3, MTD=4)",100,SEEDA Plateau (ours),Recommended,3,True,56.893,0.8518067600879505,55.308975,58.6343
Off-family logistic toxicity (misspecified),"Off-family logistic toxicity (misspecified) (k*=3, MTD=4)",100,SEEDA Plateau (fixed),Recommended,3,True,27.628,0.9445303111455302,25.97255,29.5622
"Higher MTD (dose 5), k* at MTD-1","Higher MTD (dose 5), k* at MTD-1 (k*=4, MTD=5)",100,3 + 3,Recommended,4,True,29.458,1.3810868454408112,26.891550000000002,32.12285
"Higher MTD (dose 5), k* at MTD-1","Higher MTD (dose 5), k* at MTD-1 (k*=4, MTD=5)",100,CRM,Recommended,4,True,0.729,0.05477852686962297,0.62895,0.836
"Higher MTD (dose 5), k* at MTD-1","Higher MTD (dose 5), k* at MTD-1 (k*=4, MTD=5)",100,UCB,Recommended,4,True,46.461,1.0308988043954188,44.461850000000005,48.471075
"Higher MTD (dose 5), k* at MTD-1","Higher MTD (dose 5), k* at MTD-1 (k*=4, MTD=5)",100,SEEDA,Recommended,4,True,48.425,1.0166310376250887,46.519775,50.53115
"Higher MTD (dose 5), k* at MTD-1","Higher MTD (dose 5), k* at MTD-1 (k*=4, MTD=5)",100,SEEDA Plateau,Recommended,4,True,87.488,0.42016276971794725,86.62587500000001,88.294175
"Higher MTD (dose 5), k* at MTD-1","Higher MTD (dose 5), k* at MTD-1 (k*=4, MTD=5)",100,SEEDA Plateau (ours),Recommended,4,True,60.602,0.8157627577162841,59.025975,62.132625
"Higher MTD (dose 5), k* at MTD-1","Higher MTD (dose 5), k* at MTD-1 (k*=4, MTD=5)",100,SEEDA Plateau (fixed),Recommended,4,True,25.783,0.9005571386958499,24.019925,27.5642
"Step-function, unsafe tail (misspecified)","Step-function, unsafe tail (misspecified) (k*=4, MTD=4, nominal grid 5)",100,3 + 3,Recommended,4,True,76.311,1.2348571603349232,73.772725,78.681125
"Step-function, unsafe tail (misspecified)","Step-function, unsafe tail (misspecified) (k*=4, MTD=4, nominal grid 5)",100,CRM,Recommended,4,True,21.679,0.23888153093494227,21.233900000000002,22.17305
"Step-function, unsafe tail (misspecified)","Step-function, unsafe tail (misspecified) (k*=4, MTD=4, nominal grid 5)",100,UCB,Recommended,4,True,83.848,0.4184503168162783,83.006825,84.64005
"Step-function, unsafe tail (misspecified)","Step-function, unsafe tail (misspecified) (k*=4, MTD=4, nominal grid 5)",100,SEEDA,Recommended,4,True,45.684,0.9743833335914468,43.789875,47.578225
"Step-function, unsafe tail (misspecified)","Step-function, unsafe tail (misspecified) (k*=4, MTD=4, nominal grid 5)",100,SEEDA Plateau,Recommended,4,True,46.089,0.6073264688112309,44.907625,47.345
"Step-function, unsafe tail (misspecified)","Step-function, unsafe tail (misspecified) (k*=4, MTD=4, nominal grid 5)",100,SEEDA Plateau (ours),Recommended,4,True,40.547,0.7145366420582252,39.1048,41.970075
"Step-function, unsafe tail (misspecified)","Step-function, unsafe tail (misspecified) (k*=4, MTD=4, nominal grid 5)",100,SEEDA Plateau (fixed),Recommended,4,True,21.208,0.8208764272854188,19.600775,22.713525
Borderline logistic toxicity (misspecified),"Borderline logistic toxicity (misspecified) (k*=4, MTD=5)",100,3 + 3,Recommended,4,True,3.585,0.5519812919453497,2.628975,4.718025
Borderline logistic toxicity (misspecified),"Borderline logistic toxicity (misspecified) (k*=4, MTD=5)",100,CRM,Recommended,4,True,24.209,0.9982722396417911,22.20385,26.0933
Borderline logistic toxicity (misspecified),"Borderline logistic toxicity (misspecified) (k*=4, MTD=5)",100,UCB,Recommended,4,True,47.489,0.9732932000940673,45.590875000000004,49.449175
Borderline logistic toxicity (misspecified),"Borderline logistic toxicity (misspecified) (k*=4, MTD=5)",100,SEEDA,Recommended,4,True,43.842,0.9688995382449157,41.855850000000004,45.681075
Borderline logistic toxicity (misspecified),"Borderline logistic toxicity (misspecified) (k*=4, MTD=5)",100,SEEDA Plateau,Recommended,4,True,28.572,0.9735244342198212,26.578775,30.38925
Borderline logistic toxicity (misspecified),"Borderline logistic toxicity (misspecified) (k*=4, MTD=5)",100,SEEDA Plateau (ours),Recommended,4,True,2.626,0.39884300988049237,1.91095,3.45405
Borderline logistic toxicity (misspecified),"Borderline logistic toxicity (misspecified) (k*=4, MTD=5)",100,SEEDA Plateau (fixed),Recommended,4,True,17.991,0.7794710178214608,16.504949999999997,19.582025
