scenario,scenario_label,horizon,design,metric,dose,is_kstar,mean,se,lo,hi
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",100,SEEDA,Recommended,4,False,47.559,1.0514639756054391,45.469325,49.652425
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",100,SEEDA,Recommended,5,False,0.0,0.0,0.0,0.0
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",100,SEEDA,Recommended,6,False,0.0,0.0,0.0,0.0
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",100,SEEDA,Allocated,1,False,4.222,0.03332758507493346,4.159,4.288
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",100,SEEDA,Allocated,2,False,9.522,0.10642452327896595,9.315800000000001,9.726
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",100,SEEDA,Allocated,3,True,42.736,0.40318828998518946,41.923975,43.52610000000001
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",100,SEEDA,Allocated,4,False,41.52,0.407601698602574,40.737675,42.333475
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",100,SEEDA,Allocated,5,False,1.0,0.0,1.0,1.0
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",100,SEEDA,Allocated,6,False,1.0,0.0,1.0,1.0
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",100,SEEDA Plateau,Recommended,1,False,1.73,0.06972128786806779,1.600975,1.875025
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",100,SEEDA Plateau,Recommended,2,False,1.967,0.0927428960123672,1.793,2.15305
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",100,SEEDA Plateau,Recommended,3,True,90.516,0.38550299287621165,89.75947500000001,91.2741
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",100,SEEDA Plateau,Recommended,4,False,5.787,0.365398936854028,5.09675,6.4990749999999995
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",100,SEEDA Plateau,Recommended,5,False,0.0,0.0,0.0,0.0
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",100,SEEDA Plateau,Recommended,6,False,0.0,0.0,0.0,0.0
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",100,SEEDA Plateau,Allocated,1,False,2.217,0.04929260549978016,2.117975,2.313025
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",100,SEEDA Plateau,Allocated,2,False,5.259,0.13859235265776823,5.002925,5.540075
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",100,SEEDA Plateau,Allocated,3,True,22.349,0.6394421143846001,21.062375,23.6311
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",100,SEEDA Plateau,Allocated,4,False,68.175,0.773446928272946,66.62984999999999,69.7485
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",100,SEEDA Plateau,Allocated,5,False,1.0,0.0,1.0,1.0
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",100,SEEDA Plateau,Allocated,6,False,1.0,0.0,1.0,1.0
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",100,SEEDA Plateau (ours),Recommended,1,False,9.214,0.2861114041620707,8.661975,9.742
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",100,SEEDA Plateau (ours),Recommended,2,False,21.369,0.6711273883007064,20.098925,22.727050000000002
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",100,SEEDA Plateau (ours),Recommended,3,True,58.387,0.8310568662847326,56.8578,60.04335
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",100,SEEDA Plateau (ours),Recommended,4,False,10.94,0.6423129432395496,9.672725,12.2433
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",100,SEEDA Plateau (ours),Recommended,5,False,0.09,0.023558892958656555,0.046,0.139
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",100,SEEDA Plateau (ours),Recommended,6,False,0.0,0.0,0.0,0.0
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",100,SEEDA Plateau (ours),Allocated,1,False,2.738,0.05051396872188951,2.63895,2.832
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",100,SEEDA Plateau (ours),Allocated,2,False,8.908,0.14381327140438754,8.64695,9.1921
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",100,SEEDA Plateau (ours),Allocated,3,True,43.658,0.40290416799108075,42.85685,44.45705
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",100,SEEDA Plateau (ours),Allocated,4,False,42.338,0.45065541730811265,41.476949999999995,43.238275
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",100,SEEDA Plateau (ours),Allocated,5,False,1.358,0.05630512821638412,1.254,1.475025
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",100,SEEDA Plateau (ours),Allocated,6,False,1.0,0.0,1.0,1.0
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",100,SEEDA Plateau (fixed),Recommended,1,False,66.519,0.9615333161930213,64.64965000000001,68.492075
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",100,SEEDA Plateau (fixed),Recommended,2,False,1.564,0.1404348359280637,1.316975,1.8533499999999996
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",100,SEEDA Plateau (fixed),Recommended,3,True,25.884,0.9053236005433083,24.176825,27.695025
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",100,SEEDA Plateau (fixed),Recommended,4,False,6.033,0.3655704659358636,5.329975,6.81635
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",100,SEEDA Plateau (fixed),Recommended,5,False,0.0,0.0,0.0,0.0
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",100,SEEDA Plateau (fixed),Recommended,6,False,0.0,0.0,0.0,0.0
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",100,SEEDA Plateau (fixed),Allocated,1,False,1.451,0.028138032142508713,1.4,1.512
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",100,SEEDA Plateau (fixed),Allocated,2,False,8.244,0.1375717890999319,7.978925,8.519
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",100,SEEDA Plateau (fixed),Allocated,3,True,44.344,0.37173144599824176,43.619699999999995,45.015025
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",100,SEEDA Plateau (fixed),Allocated,4,False,43.961,0.4283302210412631,43.168724999999995,44.84
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",100,SEEDA Plateau (fixed),Allocated,5,False,1.0,0.0,1.0,1.0
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",100,SEEDA Plateau (fixed),Allocated,6,False,1.0,0.0,1.0,1.0
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",300,3 + 3,Recommended,1,False,4.1063333333334056,0.5834488876496332,2.9183166666666773,5.198683333333336
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",300,3 + 3,Recommended,2,False,23.495333333333264,1.2557009067629814,21.028941666666604,25.8674749999998
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",300,3 + 3,Recommended,3,True,26.19833333333328,1.3592957441109588,23.445658333333288,28.855449999999983
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",300,3 + 3,Recommended,4,False,35.412333333333244,1.4543515880426412,32.56589166666656,38.35571666666666
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",300,3 + 3,Recommended,5,False,10.739666666666679,0.9444783479989092,8.87995833333332,12.597666666666685
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",300,3 + 3,Recommended,6,False,0.048,0.004801704365040993,0.03866666666666667,0.05800000000000006
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",300,3 + 3,Allocated,1,False,4.1063333333334056,0.5910070348888902,3.1136666666666994,5.293024999999937
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",300,3 + 3,Allocated,2,False,23.495333333333264,1.3529130587355476,21.021058333333247,26.265641666666443
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",300,3 + 3,Allocated,3,True,26.19833333333328,1.3834327401657636,23.540733333333307,28.864774999999934
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",300,3 + 3,Allocated,4,False,35.412333333333244,1.4609889448501563,32.65865833333319,38.34834999999993
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",300,3 + 3,Allocated,5,False,10.739666666666679,0.9698719460747404,8.978858333333331,12.613866666666691
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",300,3 + 3,Allocated,6,False,0.048,0.0050050978794185935,0.03833333333333333,0.05800833333333339
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",300,CRM,Recommended,1,False,0.0036666666666666675,0.0011670014772927945,0.001666666666666667,0.006000000000000001
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",300,CRM,Recommended,2,False,0.043,0.004725969354735335,0.03399999999999998,0.05233333333333338
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",300,CRM,Recommended,3,True,0.6026666666666669,0.0156524276619938,0.5726583333333328,0.6346749999999999
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",300,CRM,Recommended,4,False,14.388999999999996,0.6584751190546,13.205166666666672,15.695391666666678
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",300,CRM,Recommended,5,False,84.90300000000013,0.662159131430742,83.56488333333327,86.10812500000003
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",300,CRM,Recommended,6,False,0.05866666666666668,0.01043089880461384,0.03965833333333333,0.079675
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",300,CRM,Allocated,1,False,0.0036666666666666675,0.001212619249989644,0.0013333333333333335,0.006333333333333333
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",300,CRM,Allocated,2,False,0.043,0.004648083393700089,0.03433333333333331,0.05200833333333338
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",300,CRM,Allocated,3,True,0.6026666666666669,0.015830298955853955,0.5716583333333328,0.6350083333333335
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",300,CRM,Allocated,4,False,14.388999999999996,0.641303108105174,13.17679166666667,15.757075000000011
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",300,CRM,Allocated,5,False,84.90300000000013,0.6440153902234217,83.52693333333328,86.1296916666666
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",300,CRM,Allocated,6,False,0.05866666666666668,0.010851677956428007,0.03999166666666667,0.08367499999999997
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",300,UCB,Recommended,1,False,0.3373333333333315,0.0024871815742510245,0.3336666666666652,0.34300833333333164
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",300,UCB,Recommended,2,False,0.701333333333337,0.0501050130681249,0.6126333333333321,0.8104166666666727
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",300,UCB,Recommended,3,True,47.17000000000008,1.1530191293921803,44.84745000000003,49.382125
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",300,UCB,Recommended,4,False,48.37400000000001,1.1525247740133868,46.16589166666673,50.6796083333334
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",300,UCB,Recommended,5,False,2.6483333333333343,0.16384238812832697,2.353649999999991,2.988716666666677
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",300,UCB,Recommended,6,False,0.7690000000000051,0.03532175850444217,0.7026583333333366,0.8393500000000085
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",300,UCB,Allocated,1,False,6.370666666666661,0.015133347944119219,6.341324999999998,6.399666666666651
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",300,UCB,Allocated,2,False,10.530666666666678,0.03650322756141134,10.460666666666672,10.604333333333326
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",300,UCB,Allocated,3,True,20.793666666666667,0.06665511032304003,20.65932499999998,20.92534166666667
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",300,UCB,Allocated,4,False,20.687333333333317,0.06420699526026283,20.55931666666668,20.81102499999999
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",300,UCB,Allocated,5,False,20.71199999999999,0.06567528680195299,20.582991666666658,20.84271666666666
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",300,UCB,Allocated,6,False,20.90566666666666,0.06820817796428781,20.780333333333363,21.044691666666658
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",300,SEEDA,Recommended,1,False,0.527666666666663,0.013129870700648302,0.5039833333333285,0.5540083333333312
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",300,SEEDA,Recommended,2,False,0.9786666666666651,0.03703728024594814,0.9116499999999987,1.0519999999999983
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",300,SEEDA,Recommended,3,True,49.08833333333337,1.0842223192333509,47.019958333333385,51.12766666666667
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",300,SEEDA,Recommended,4,False,49.40533333333329,1.0831242618911523,47.38747499999997,51.46652500000004
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",300,SEEDA,Recommended,5,False,0.0,0.0,0.0,0.0
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",300,SEEDA,Recommended,6,False,0.0,0.0,0.0,0.0
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",300,SEEDA,Allocated,1,False,2.1326666666666694,0.014215620241792057,2.103991666666671,2.1606666666666685
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",300,SEEDA,Allocated,2,False,5.578000000000002,0.06405227158558145,5.457633333333335,5.707033333333337
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",300,SEEDA,Allocated,3,True,45.533999999999935,0.40557942963173976,44.73880000000002,46.30852499999999
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",300,SEEDA,Allocated,4,False,46.088666666666704,0.40311529851700445,45.32893333333329,46.8813416666667
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",300,SEEDA,Allocated,5,False,0.3333333333333318,7.220060593319288e-16,0.3333333333333318,0.3333333333333318
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",300,SEEDA,Allocated,6,False,0.3333333333333318,7.220060593319288e-16,0.3333333333333318,0.3333333333333318
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",300,SEEDA Plateau,Recommended,1,False,0.5629999999999963,0.023690376819350045,0.5203333333333282,0.6139999999999988
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",300,SEEDA Plateau,Recommended,2,False,0.6663333333333362,0.028508144475089533,0.6123333333333332,0.7226833333333362
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",300,SEEDA Plateau,Recommended,3,True,95.9516666666662,0.2849520669126011,95.36299166666636,96.47980833333284
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",300,SEEDA Plateau,Recommended,4,False,2.819000000000001,0.28366945584226116,2.283983333333335,3.4000583333333334
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",300,SEEDA Plateau,Recommended,5,False,0.0,0.0,0.0,0.0
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",300,SEEDA Plateau,Recommended,6,False,0.0,0.0,0.0,0.0
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",300,SEEDA Plateau,Allocated,1,False,0.9786666666666739,0.02838370007370998,0.9259916666666735,1.0380000000000051
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",300,SEEDA Plateau,Allocated,2,False,2.7800000000000074,0.08895723538529185,2.612641666666669,2.954025000000001
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",300,SEEDA Plateau,Allocated,3,True,22.480666666666632,0.7755598816345461,20.908324999999945,23.910524999999954
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",300,SEEDA Plateau,Allocated,4,False,73.0940000000001,0.8685840250525267,71.49060000000007,74.8373916666666
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",300,SEEDA Plateau,Allocated,5,False,0.3333333333333318,7.220060593319288e-16,0.3333333333333318,0.3333333333333318
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",300,SEEDA Plateau,Allocated,6,False,0.3333333333333318,7.220060593319288e-16,0.3333333333333318,0.3333333333333318
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",300,SEEDA Plateau (ours),Recommended,1,False,2.987,0.11118675915108583,2.773983333333327,3.21833333333333
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",300,SEEDA Plateau (ours),Recommended,2,False,8.289999999999976,0.34212727072170823,7.647641666666647,8.97400833333332
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",300,SEEDA Plateau (ours),Recommended,3,True,75.13433333333333,0.7138502145061864,73.77663333333331,76.5392833333332
Paper's main scenario,"Paper's main scenario (k*=3, MTD=4)",300,SEEDA Plateau (ours),Recommended,4,False,13.567333333333332,0.7018823050765093,12.221974999999993,14.92661666666666
