,Recommended,Recommended,Recommended,Recommended,Recommended,Recommended,Allocated,Allocated,Allocated,Allocated,Allocated,Allocated
,Dose 1,Dose 2,Dose 3,Dose 4,Dose 5,Dose 6,Dose 1,Dose 2,Dose 3,Dose 4,Dose 5,Dose 6
Toxicity prob,0.01,0.05,0.15,0.2,0.45,0.6,0.01,0.05,0.15,0.2,0.45,0.6
Efficacy prob,0.5,0.55,0.6,0.6,0.6,0.6,0.5,0.55,0.6,0.6,0.6,0.6
3 + 3,"4.40
(19.67)","19.93
(39.38)","26.98
(43.73)","37.79
(47.76)","10.85
(30.53)","0.05
(0.15)","4.40
(19.67)","19.93
(39.38)","26.98
(43.73)","37.79
(47.76)","10.85
(30.53)","0.05
(0.15)"
CRM,"0.00
(0.01)","0.04
(0.13)","0.63
(0.50)","14.40
(20.46)","84.88
(20.54)","0.05
(0.26)","0.00
(0.01)","0.04
(0.13)","0.63
(0.50)","14.40
(20.46)","84.88
(20.54)","0.05
(0.26)"
UCB,"3.68
(9.09)","12.15
(20.63)","40.67
(33.86)","40.23
(33.78)","2.59
(6.30)","0.68
(1.04)","13.38
(1.49)","15.35
(1.69)","17.80
(1.87)","17.82
(1.80)","17.84
(1.89)","17.82
(1.81)"
SEEDA,"3.18
(6.20)","10.59
(18.13)","42.05
(34.20)","44.18
(33.78)","0.00
(0.00)","0.00
(0.00)","12.60
(4.63)","19.39
(6.91)","33.59
(9.92)","33.76
(9.70)","0.33
(0.00)","0.33
(0.00)"
Reference,"0.57
(0.74)","0.78
(1.39)","96.15
(8.05)","2.50
(7.81)","0.00
(0.00)","0.00
(0.00)","4.89
(6.12)","8.75
(10.03)","16.84
(17.98)","68.86
(30.73)","0.33
(0.00)","0.33
(0.00)"
Anchored,"37.08
(34.28)","29.18
(30.44)","23.62
(27.95)","10.09
(20.32)","0.03
(0.49)","0.00
(0.00)","6.36
(8.46)","17.80
(10.33)","38.06
(10.90)","37.05
(16.34)","0.40
(0.56)","0.33
(0.00)"
Descending,"91.94
(16.38)","2.37
(10.44)","3.12
(10.72)","2.57
(7.38)","0.00
(0.00)","0.00
(0.00)","4.97
(6.40)","17.06
(9.58)","38.99
(10.28)","38.32
(15.25)","0.33
(0.00)","0.33
(0.00)"
