,Recommended,Recommended,Recommended,Recommended,Recommended,Recommended,Allocated,Allocated,Allocated,Allocated,Allocated,Allocated
,Dose 1,Dose 2,Dose 3,Dose 4,Dose 5,Dose 6,Dose 1,Dose 2,Dose 3,Dose 4,Dose 5,Dose 6
Toxicity prob,0.01,0.05,0.15,0.2,0.45,0.6,0.01,0.05,0.15,0.2,0.45,0.6
Efficacy prob,0.1,0.35,0.6,0.6,0.6,0.6,0.1,0.35,0.6,0.6,0.6,0.6
3 + 3,"4.42
(17.87)","21.05
(39.04)","28.18
(42.93)","36.33
(45.88)","9.89
(28.18)","0.12
(0.41)","4.42
(17.87)","21.05
(39.04)","28.18
(42.93)","36.33
(45.88)","9.89
(28.18)","0.12
(0.41)"
CRM,"0.01
(0.07)","0.11
(0.39)","1.93
(1.61)","25.92
(28.37)","71.90
(28.99)","0.14
(0.85)","0.01
(0.07)","0.11
(0.39)","1.93
(1.61)","25.92
(28.37)","71.90
(28.99)","0.14
(0.85)"
UCB,"1.03
(0.40)","2.21
(4.46)","42.37
(32.91)","45.37
(33.00)","6.83
(12.61)","2.19
(3.22)","8.88
(0.79)","12.69
(1.53)","19.56
(2.30)","19.59
(2.30)","19.65
(2.24)","19.63
(2.27)"
SEEDA,"1.59
(1.33)","2.90
(3.21)","47.95
(33.51)","47.56
(33.32)","0.00
(0.00)","0.00
(0.00)","4.22
(1.09)","9.52
(3.58)","42.74
(12.89)","41.52
(12.83)","1.00
(0.00)","1.00
(0.00)"
Reference,"1.73
(2.20)","1.97
(2.99)","90.52
(12.34)","5.79
(11.74)","0.00
(0.00)","0.00
(0.00)","2.22
(1.60)","5.26
(4.40)","22.35
(20.07)","68.17
(24.32)","1.00
(0.00)","1.00
(0.00)"
Anchored,"9.21
(9.09)","21.37
(20.96)","58.39
(26.43)","10.94
(20.29)","0.09
(0.75)","0.00
(0.00)","2.74
(1.68)","8.91
(4.63)","43.66
(12.59)","42.34
(14.14)","1.36
(1.79)","1.00
(0.00)"
Descending,"66.52
(30.68)","1.56
(4.59)","25.88
(29.72)","6.03
(11.66)","0.00
(0.00)","0.00
(0.00)","1.45
(0.89)","8.24
(4.29)","44.34
(12.17)","43.96
(14.08)","1.00
(0.00)","1.00
(0.00)"
