,Recommended,Recommended,Recommended,Recommended,Recommended,Recommended,Allocated,Allocated,Allocated,Allocated,Allocated,Allocated
,Dose 1,Dose 2,Dose 3,Dose 4,Dose 5,Dose 6,Dose 1,Dose 2,Dose 3,Dose 4,Dose 5,Dose 6
Toxicity prob,0.01,0.05,0.15,0.2,0.45,0.6,0.01,0.05,0.15,0.2,0.45,0.6
Efficacy prob,0.1,0.35,0.6,0.6,0.6,0.6,0.1,0.35,0.6,0.6,0.6,0.6
3 + 3,"1.64
(11.27)","51.62
(49.38)","27.04
(43.69)","11.28
(31.13)","8.38
(27.32)","0.05
(0.19)","1.64
(11.27)","51.62
(49.38)","27.04
(43.69)","11.28
(31.13)","8.38
(27.32)","0.05
(0.19)"
CRM,"0.01
(0.06)","0.20
(0.33)","5.08
(13.30)","50.45
(46.57)","23.41
(40.32)","20.85
(39.00)","0.01
(0.06)","0.20
(0.33)","5.08
(13.30)","50.45
(46.57)","23.41
(40.32)","20.85
(39.00)"
UCB,"0.34
(0.06)","0.76
(1.76)","22.64
(26.09)","24.92
(26.58)","25.78
(27.75)","25.56
(27.60)","6.37
(0.46)","10.48
(1.15)","20.68
(2.16)","20.95
(2.14)","20.81
(2.18)","20.72
(2.17)"
SEEDA,"0.86
(1.04)","5.97
(8.76)","54.95
(32.05)","38.23
(33.52)","0.00
(0.00)","0.00
(0.00)","2.35
(0.83)","7.06
(4.96)","50.36
(16.17)","39.56
(17.27)","0.33
(0.00)","0.33
(0.00)"
Reference,"4.53
(6.38)","5.72
(9.22)","87.74
(12.74)","2.01
(6.45)","0.00
(0.00)","0.00
(0.00)","1.75
(1.35)","6.14
(6.61)","30.27
(26.52)","61.17
(30.49)","0.33
(0.00)","0.33
(0.00)"
Anchored,"3.97
(3.05)","15.61
(13.39)","72.90
(19.33)","7.43
(16.53)","0.10
(1.61)","0.00
(0.00)","2.52
(1.70)","12.54
(9.60)","61.24
(22.22)","22.87
(20.69)","0.50
(2.12)","0.33
(0.00)"
Descending,"37.49
(28.61)","3.51
(9.02)","56.48
(29.61)","2.52
(7.97)","0.00
(0.00)","0.00
(0.00)","1.77
(1.54)","9.09
(8.13)","52.63
(17.50)","35.84
(19.20)","0.33
(0.00)","0.33
(0.00)"
