,Recommended,Recommended,Recommended,Recommended,Recommended,Recommended,Allocated,Allocated,Allocated,Allocated,Allocated,Allocated
,Dose 1,Dose 2,Dose 3,Dose 4,Dose 5,Dose 6,Dose 1,Dose 2,Dose 3,Dose 4,Dose 5,Dose 6
Toxicity prob,0.01,0.05,0.1,0.15,0.25,0.6,0.01,0.05,0.1,0.15,0.25,0.6
Efficacy prob,0.1,0.2,0.35,0.6,0.6,0.6,0.1,0.2,0.35,0.6,0.6,0.6
3 + 3,"60.63
(48.58)","21.91
(40.92)","9.71
(29.21)","5.27
(22.05)","2.47
(15.32)","0.01
(0.07)","60.63
(48.58)","21.91
(40.92)","9.71
(29.21)","5.27
(22.05)","2.47
(15.32)","0.01
(0.07)"
CRM,"0.31
(1.27)","1.23
(4.01)","5.64
(13.17)","23.61
(35.34)","63.00
(44.42)","6.20
(23.67)","0.31
(1.27)","1.23
(4.01)","5.64
(13.17)","23.61
(35.34)","63.00
(44.42)","6.20
(23.67)"
UCB,"0.50
(0.85)","1.40
(4.06)","5.27
(11.31)","55.30
(31.52)","34.49
(30.81)","3.05
(5.20)","6.92
(0.53)","8.43
(0.80)","11.77
(1.28)","24.34
(2.45)","24.21
(2.37)","24.32
(2.34)"
SEEDA,"6.79
(15.19)","5.94
(12.26)","11.48
(19.28)","66.36
(31.61)","9.42
(21.13)","0.00
(0.00)","5.51
(12.08)","6.41
(8.13)","11.97
(13.26)","66.29
(24.09)","9.48
(15.14)","0.33
(0.00)"
Reference,"25.54
(36.07)","9.96
(15.58)","15.00
(20.39)","48.92
(35.66)","0.59
(2.52)","0.00
(0.00)","16.53
(29.83)","11.04
(18.35)","13.12
(17.02)","47.60
(35.63)","11.37
(23.62)","0.33
(0.00)"
Anchored,"76.38
(38.38)","14.81
(30.22)","6.08
(20.51)","2.71
(14.36)","0.03
(0.71)","0.00
(0.00)","74.91
(37.91)","14.72
(28.65)","6.60
(20.35)","3.01
(13.97)","0.42
(0.97)","0.33
(0.00)"
Descending,"50.31
(32.56)","1.09
(5.60)","4.57
(12.15)","43.62
(34.39)","0.42
(0.86)","0.00
(0.00)","20.09
(33.30)","11.10
(17.33)","14.42
(17.94)","49.46
(35.90)","4.60
(10.89)","0.33
(0.00)"
