,Recommended,Recommended,Recommended,Recommended,Recommended,Recommended,Allocated,Allocated,Allocated,Allocated,Allocated,Allocated
,Dose 1,Dose 2,Dose 3,Dose 4,Dose 5,Dose 6,Dose 1,Dose 2,Dose 3,Dose 4,Dose 5,Dose 6
Toxicity prob,0.01,0.05,0.1,0.15,0.25,0.6,0.01,0.05,0.1,0.15,0.25,0.6
Efficacy prob,0.1,0.2,0.35,0.6,0.6,0.6,0.1,0.2,0.35,0.6,0.6,0.6
3 + 3,"1.05
(8.30)","1.73
(11.61)","1.23
(9.30)","81.33
(37.34)","14.60
(34.42)","0.07
(0.19)","1.05
(8.30)","1.73
(11.61)","1.23
(9.30)","81.33
(37.34)","14.60
(34.42)","0.07
(0.19)"
CRM,"0.00
(0.01)","0.00
(0.00)","0.41
(0.16)","22.27
(4.88)","75.30
(10.30)","2.01
(12.70)","0.00
(0.01)","0.00
(0.00)","0.41
(0.16)","22.27
(4.88)","75.30
(10.30)","2.01
(12.70)"
UCB,"0.35
(0.19)","0.43
(0.61)","1.43
(3.72)","94.35
(5.39)","1.60
(2.57)","1.85
(3.03)","6.91
(0.52)","8.41
(0.82)","11.77
(1.27)","24.33
(2.37)","24.35
(2.39)","24.23
(2.41)"
SEEDA,"2.34
(3.96)","9.35
(13.04)","21.33
(17.82)","44.11
(32.16)","22.86
(14.44)","0.00
(0.00)","4.71
(2.89)","8.68
(6.47)","19.61
(10.80)","35.59
(15.64)","31.08
(5.64)","0.33
(0.00)"
Reference,"13.42
(14.68)","24.97
(15.37)","10.25
(10.87)","49.94
(17.81)","1.43
(4.79)","0.00
(0.00)","6.36
(3.79)","13.30
(9.24)","25.82
(11.00)","21.54
(17.38)","32.65
(5.21)","0.33
(0.00)"
Anchored,"13.10
(11.86)","11.51
(12.40)","14.72
(14.98)","54.84
(24.20)","5.66
(10.20)","0.17
(2.33)","6.45
(6.25)","13.05
(11.34)","13.57
(11.47)","35.27
(17.56)","30.89
(5.67)","0.78
(2.83)"
Descending,"47.86
(22.90)","0.34
(0.28)","4.62
(9.74)","45.13
(24.58)","2.05
(6.85)","0.00
(0.00)","3.94
(4.09)","10.18
(8.26)","19.26
(11.12)","35.37
(16.51)","30.91
(5.94)","0.33
(0.00)"
