misspecified,design,accuracy,stratified,n_scenarios,mean_patients,sd_across_scenarios,ci_lo,ci_hi,censored_frac,gap
True,SEEDA,0.9,False,100,404.04,128.90580070169634,378.0585,427.35375,0.83,
True,SEEDA Plateau,0.0,False,100,21.0,0.0,21.0,21.0,0.0,
True,SEEDA Plateau,0.1,False,100,192.96,201.98419380103618,155.50500000000002,232.02,0.39,
True,SEEDA Plateau,0.2,False,100,223.83,203.4162302454569,183.65175,264.2535,0.46,
True,SEEDA Plateau,0.3,False,100,243.87,208.437169517252,203.99175,284.50425,0.47,
True,SEEDA Plateau,0.4,False,100,251.76,207.8875045438146,213.1755,291.04049999999995,0.5,
True,SEEDA Plateau,0.5,False,100,266.85,206.2312801422008,226.37775,304.41375,0.55,
True,SEEDA Plateau,0.6,False,100,276.06,204.63803076741047,235.90875,315.77625,0.56,
True,SEEDA Plateau,0.7,False,100,285.99,199.82312860945984,249.53924999999998,323.31525,0.58,
True,SEEDA Plateau,0.8,False,100,306.03,189.54754500700295,269.37,339.60525,0.61,
True,SEEDA Plateau,0.9,False,100,332.88,178.59396304568534,296.33849999999995,363.75,0.67,
True,SEEDA Plateau (ours),0.0,False,100,21.0,0.0,21.0,21.0,0.0,
True,SEEDA Plateau (ours),0.1,False,100,105.78,159.76267626474194,75.957,135.966,0.18,
True,SEEDA Plateau (ours),0.2,False,100,120.84,161.64049897563083,93.68925,150.786,0.19,
True,SEEDA Plateau (ours),0.3,False,100,144.3,168.15279847913217,112.43025,181.836,0.25,
True,SEEDA Plateau (ours),0.4,False,100,167.61,179.22999698203932,132.687,201.336,0.28,
True,SEEDA Plateau (ours),0.5,False,100,189.93,188.48086230316713,153.74625,224.55675,0.34,
True,SEEDA Plateau (ours),0.6,False,100,208.23,191.65978143100813,170.8155,246.76725,0.37,
True,SEEDA Plateau (ours),0.7,False,100,227.07,186.56984799752124,190.884,261.279,0.41,
True,SEEDA Plateau (ours),0.8,False,100,267.27,181.87163055298097,231.71925,302.16150000000005,0.55,
True,SEEDA Plateau (ours),0.9,False,100,359.1,156.83778533596714,328.76624999999996,389.89874999999995,0.79,
True,SEEDA Plateau (fixed),0.0,False,100,21.0,0.0,21.0,21.0,0.0,
True,SEEDA Plateau (fixed),0.1,False,100,150.36,184.14583153774421,113.745,189.7815,0.27,
True,SEEDA Plateau (fixed),0.2,False,100,177.45,186.56384478729575,137.634,212.75549999999996,0.3,
True,SEEDA Plateau (fixed),0.3,False,100,199.53,190.2354975956237,163.94774999999998,236.80049999999997,0.34,
True,SEEDA Plateau (fixed),0.4,False,100,216.78,194.2091749541294,180.65775,255.03225,0.39,
True,SEEDA Plateau (fixed),0.5,False,100,231.51,194.73947865149108,195.32925,267.60075,0.41,
True,SEEDA Plateau (fixed),0.6,False,100,242.04,193.93901571932818,207.444,280.509,0.42,
True,SEEDA Plateau (fixed),0.7,False,100,258.87,194.06432626135265,222.02925,298.62225,0.49,
True,SEEDA Plateau (fixed),0.8,False,100,277.65,195.59483865657324,239.90925,315.54075,0.55,
True,SEEDA Plateau (fixed),0.9,False,100,289.74,196.4809405514947,252.39974999999998,327.03599999999994,0.57,
False,UCB,0.0,True,32,21.0,0.0,21.0,21.0,0.0,1.0
False,UCB,0.1,True,32,24.375,1.4756081305138942,24.0,24.9375,0.0,1.0
False,UCB,0.2,True,32,31.5,4.310527248642598,30.1828125,33.0,0.0,1.0
False,UCB,0.3,True,32,47.4375,25.33509296378979,40.8703125,57.1875,0.03125,1.0
False,UCB,0.4,True,32,81.0,52.39551815356582,64.5,99.75,0.09375,1.0
False,UCB,0.5,True,32,235.875,133.69096526522796,192.553125,283.3125,0.625,1.0
False,UCB,0.6,True,32,406.6875,113.2512016599354,364.5,440.82421875,0.90625,1.0
False,UCB,0.7,True,32,437.90625,75.61675841522042,407.98359375,461.15625,0.96875,1.0
False,UCB,0.8,True,32,458.625,14.432825489588074,453.18515625,461.81484375,1.0,1.0
False,UCB,0.9,True,32,460.96875,2.9125354767325677,460.03125,461.90625,1.0,1.0
False,SEEDA,0.0,True,32,21.0,0.0,21.0,21.0,0.0,1.0
False,SEEDA,0.1,True,32,24.1875,1.0606601717798212,24.0,24.5625,0.0,1.0
False,SEEDA,0.2,True,32,27.5625,1.7768674864817942,27.0,28.3125,0.0,1.0
False,SEEDA,0.3,True,32,32.25,6.237245049414975,30.375,34.875,0.0,1.0
False,SEEDA,0.4,True,32,54.75,44.05787981954588,41.625,71.4515625,0.09375,1.0
False,SEEDA,0.5,True,32,174.375,122.65076305273993,134.6203125,217.3171875,0.53125,1.0
False,SEEDA,0.6,True,32,356.53125,162.52622307025987,294.27890625,409.05234375,0.78125,1.0
False,SEEDA,0.7,True,32,403.3125,116.96634131236216,362.240625,440.15625,0.9375,1.0
False,SEEDA,0.8,True,32,454.6875,32.20242176827599,442.96640625,461.15625,1.0,1.0
False,SEEDA,0.9,True,32,460.40625,3.0465144017384853,459.375,461.4375,1.0,1.0
False,SEEDA Plateau,0.0,True,32,21.0,0.0,21.0,21.0,0.0,1.0
False,SEEDA Plateau,0.1,True,32,24.0,0.0,24.0,24.0,0.0,1.0
False,SEEDA Plateau,0.2,True,32,27.0,0.0,27.0,27.0,0.0,1.0
False,SEEDA Plateau,0.3,True,32,30.0,0.0,30.0,30.0,0.0,1.0
False,SEEDA Plateau,0.4,True,32,33.0,0.0,33.0,33.0,0.0,1.0
False,SEEDA Plateau,0.5,True,32,36.1875,1.0606601717798212,36.0,36.5625,0.0,1.0
False,SEEDA Plateau,0.6,True,32,40.6875,8.517297390528856,39.0,43.6875,0.0,1.0
False,SEEDA Plateau,0.7,True,32,53.4375,39.7515976550507,44.0625,67.5,0.0,1.0
False,SEEDA Plateau,0.8,True,32,74.25,77.2407213343976,54.5625,102.1875,0.03125,1.0
False,SEEDA Plateau,0.9,True,32,102.84375,100.2465056506275,72.375,140.43984375,0.09375,1.0
False,SEEDA Plateau (ours),0.0,True,32,21.0,0.0,21.0,21.0,0.0,1.0
False,SEEDA Plateau (ours),0.1,True,32,27.375,6.272057850292785,25.5,29.629687499999996,0.0,1.0
False,SEEDA Plateau (ours),0.2,True,32,34.125,13.920859261577396,29.8125,39.375,0.0,1.0
False,SEEDA Plateau (ours),0.3,True,32,42.1875,23.287041253078517,34.875,51.375,0.0,1.0
False,SEEDA Plateau (ours),0.4,True,32,64.5,59.572671803491,46.875,87.0,0.0625,1.0
False,SEEDA Plateau (ours),0.5,True,32,89.4375,108.9139753762485,54.5625,129.0046875,0.0625,1.0
False,SEEDA Plateau (ours),0.6,True,32,115.40625,139.49398400139214,71.2453125,165.18984375,0.15625,1.0
False,SEEDA Plateau (ours),0.7,True,32,145.3125,165.77315193729595,90.84140625,202.97812499999998,0.21875,1.0
False,SEEDA Plateau (ours),0.8,True,32,177.28125,180.03767246902666,115.959375,243.8484375,0.3125,1.0
