,Recommended,Recommended,Recommended,Recommended,Recommended,Recommended,Allocated,Allocated,Allocated,Allocated,Allocated,Allocated
,Dose 1,Dose 2,Dose 3,Dose 4,Dose 5,Dose 6,Dose 1,Dose 2,Dose 3,Dose 4,Dose 5,Dose 6
Toxicity prob,0.01,0.05,0.15,0.20,0.45,0.60,0.01,0.05,0.15,0.20,0.45,0.60
Efficacy prob,0.10,0.35,0.60,0.60,0.60,0.60,0.10,0.35,0.60,0.60,0.60,0.60
3+3,"0.00
(0.00)","2.40
(0.41)","12.00
(4.31)","17.60
(5.31)","45.20
(7.15)","22.80
(4.35)","16.04
(5.12)","17.82
(4.23)","20.19
(10.25)","18.12
(9.15)","16.81
(8.15)","5.82
(4.12)"
CRM,"0.00
(0.00)","0.00
(0.00)","0.00
(0.00)","33.80
(8.26)","65.80
(10.63)","0.40
(0.40)","0.12
(0.11)","0.35
(0.25)","2.62
(0.32)","33.90
(10.21)","57.69
(11.24)","5.33
(0.23)"
UCB,"0.00
(0.00)","2.40
(2.15)","54.00
(9.92)","40.40
(9.05)","3.20
(3.09)","0.00
(0.00)","5.45
(0.49)","9.50
(1.16)","22.13
(2.11)","20.93
(2.24)","20.43
(2.15)","24.57
(2.11)"
SEEDA,"0.00
(0.00)","1.00
(0.71)","47.20
(3.40)","47.40
(3.41)","4.40
(2.46)","0.00
(0.00)","11.18
(0.58)","9.18
(1.99)","30.76
(7.76)","31.71
(7.69)","12.06
(3.45)","5.11
(0.62)"
SEEDA-Plateau,"0.80
(0.32)","2.20
(1.96)","86.60
(8.58)","10.40
(3.65)","0.00
(0.00)","0.00
(0.00)","7.83
(1.61)","8.98
(4.21)","30.12
(6.01)","37.17
(7.54)","14.91
(3.02)","1.00
(0.61)"
