a_max,design,alloc_d1,alloc_d2,alloc_d3,alloc_d4,alloc_d5,alloc_d6,rec_d1,rec_d2,rec_d3,rec_d4,rec_d5,rec_d6,type1,type2
25,UCB,8.918,12.656,19.644000000000002,19.512,19.642,19.628,1.032,1.899,42.366,45.115,7.33,2.258,1.0555851063829786,11.514893617021277
25,SEEDA,4.207000000000001,9.577,42.211,41.544,1.461,1.0,1.725,2.855,47.957,47.463,0.0,0.0,0.47712765957446807,0.5159574468085106
25,SEEDA Plateau,2.278,5.697,24.990000000000002,65.035,1.0,1.0,1.8030000000000002,2.048,90.61200000000001,5.537,0.0,0.0,0.674468085106383,0.0
30,3 + 3,20.18584420719652,22.044286279161724,24.65401344404903,19.33570581257414,11.664689600632661,2.1154606563859235,4.621,19.978,28.477000000000004,38.211,8.606,0.107,,
30,CRM,0.005,0.099,1.8259999999999998,25.796999999999997,72.125,0.148,0.005,0.099,1.8259999999999998,25.796999999999997,72.125,0.148,0.11941489361702126,0.6920212765957447
30,UCB,8.871,12.635,19.489,19.735,19.646,19.624,1.0250000000000001,2.2560000000000002,42.132,45.586,6.712999999999999,2.2880000000000003,1.2595744680851064,10.669148936170213
30,SEEDA,4.2250000000000005,9.397,39.079,38.712,7.587000000000001,1.0,1.662,2.996,45.027,45.846,4.469,0.0,0.6127659574468085,7.295212765957447
30,SEEDA Plateau,2.554,6.5600000000000005,28.012999999999998,55.25,6.622999999999999,1.0,2.021,1.992,80.943,12.919,2.125,0.0,0.8037234042553191,5.198404255319149
40,3 + 3,20.502671680189984,22.442113595883633,24.71798931327924,18.721551553532557,11.478329705125669,2.137344151988917,3.372,22.694,27.229,37.623,8.974,0.108,,
40,CRM,0.006,0.11,1.9349999999999998,25.491999999999997,72.309,0.148,0.006,0.11,1.9349999999999998,25.491999999999997,72.309,0.148,0.12819148936170213,0.6952127659574467
40,UCB,8.907,12.623000000000001,19.648,19.682,19.521,19.619,1.0170000000000001,2.265,43.167,44.477,6.861000000000001,2.213,1.1686170212765956,11.193085106382979
40,SEEDA,4.148000000000001,9.200999999999999,38.205,39.175,7.503,1.7680000000000002,1.7610000000000001,2.876,43.952000000000005,46.72,4.691,0.0,0.6289893617021276,8.724468085106384
40,SEEDA Plateau,2.5420000000000003,6.433,28.175,55.848,6.002,1.0,2.0660000000000003,2.164,81.864,11.749,2.157,0.0,0.865691489361702,4.758510638297872
None,3 + 3,20.44514477053378,22.257238526688987,24.18751231041954,19.22395115225527,11.424069332282844,2.4620839078195784,4.153,20.189,29.207,35.952,10.374,0.125,,
None,CRM,0.008,0.11,1.884,25.409,72.404,0.185,0.008,0.11,1.884,25.409,72.404,0.185,0.1348404255319149,0.8063829787234044
None,UCB,8.906,12.57,19.634,19.742,19.552,19.596,1.009,1.923,42.51,45.016,7.3020000000000005,2.2399999999999998,1.2470744680851065,11.10744680851064
None,SEEDA,4.1129999999999995,9.103,38.345,38.177,7.6770000000000005,2.585,1.82,3.102,44.449,44.547,4.3229999999999995,1.7590000000000001,0.749468085106383,10.772340425531915
None,SEEDA Plateau,2.4250000000000003,6.334,28.235,55.198,6.053,1.755,1.994,2.008,79.712,10.109,5.116,1.061,0.7933510638297873,8.005851063829788
