design,comparison,true_gap,cohort,ratio_mean,ci_lo,ci_hi
Algorithm 2,Doses 1–2,0.24999999999999997,41,8.073436699108889,7.994184698448256,8.151833917043591
Algorithm 2,Doses 1–2,0.24999999999999997,42,8.07348512279415,7.994614357423564,8.150618722897107
Algorithm 2,Doses 1–2,0.24999999999999997,43,8.06494478328776,7.985020217290595,8.143646761292363
Algorithm 2,Doses 1–2,0.24999999999999997,44,8.061719398256761,7.982716999573737,8.140210853926506
Algorithm 2,Doses 1–2,0.24999999999999997,45,8.05739968056303,7.977656916353271,8.136036712593791
Algorithm 2,Doses 1–2,0.24999999999999997,46,8.058503313918509,7.977870766607583,8.138767008426223
Algorithm 2,Doses 1–2,0.24999999999999997,47,8.058575252080152,7.977029819365978,8.13988442256287
Algorithm 2,Doses 1–2,0.24999999999999997,48,8.061904579107606,7.980146430410558,8.145087233267807
Algorithm 2,Doses 1–2,0.24999999999999997,49,8.055867329235712,7.9729749568464126,8.138975730565042
Algorithm 2,Doses 1–2,0.24999999999999997,50,8.051653890908193,7.967810032497071,8.134576645870176
Algorithm 2,Doses 1–2,0.24999999999999997,51,8.04824395555347,7.964729452198903,8.130678930128989
Algorithm 2,Doses 1–2,0.24999999999999997,52,8.049070695262188,7.96468894904967,8.130203754580197
Algorithm 2,Doses 1–2,0.24999999999999997,53,8.047882459527951,7.9633082175097885,8.129375802567917
Algorithm 2,Doses 1–2,0.24999999999999997,54,8.036903506551177,7.9557588162612785,8.120921360324688
Algorithm 2,Doses 1–2,0.24999999999999997,55,8.035805110421377,7.953926889973553,8.120020376808334
Algorithm 2,Doses 1–2,0.24999999999999997,56,8.032126208381738,7.951523247274603,8.116891127524369
Algorithm 2,Doses 1–2,0.24999999999999997,57,8.025171096651908,7.943513078689904,8.110207080677059
Algorithm 2,Doses 1–2,0.24999999999999997,58,8.018198111140853,7.936347775111875,8.101586771847762
Algorithm 2,Doses 1–2,0.24999999999999997,59,8.019308866194647,7.938762901200751,8.103366484553169
Algorithm 2,Doses 1–2,0.24999999999999997,60,8.013130112800019,7.933013576614529,8.097768448224109
Algorithm 2,Doses 1–2,0.24999999999999997,61,8.007351535235705,7.926739751254353,8.091647068036862
Algorithm 2,Doses 1–2,0.24999999999999997,62,8.003209386380899,7.9227549396895585,8.088533423025908
Algorithm 2,Doses 1–2,0.24999999999999997,63,7.994666218775081,7.913814303405995,8.078281155842173
Algorithm 2,Doses 1–2,0.24999999999999997,64,7.99160877739809,7.912162257656527,8.075337139104938
Algorithm 2,Doses 1–2,0.24999999999999997,65,7.987947235636353,7.90839899585093,8.071374949955473
